,Class,Count,Category,#HP,AvgOptionsUsed,Most Used HP
153,DNNClassifier,2,estimator,13,4.0,"feature_columns, hidden_units, n_classes"
52,LSTMBlockCell,2,raw_ops,12,6.5,"num_units, x, cs_prev, h_prev, w, wci, wcf, wco, b, forget_bias, cell_clip, use_peephole, name"
241,LinearOperatorDiag,2,linalg,6,1.0,diag
287,WarmStartSettings,1,estimator,4,2.0,"ckpt_to_initialize_from, vars_to_warm_start"
299,MeanTensor,1,keras,3,2.0,"name, dtype"
293,ExponentialDecay,1,keras,5,4.0,"initial_learning_rate, decay_steps, decay_rate, staircase"
297,StaticHashTable,1,lookup,4,2.0,"initializer, default_value"
280,ResNet50,1,keras,7,3.0,"pooling, include_top, weights"
281,MobileNetV2,1,keras,9,3.0,"input_shape, include_top, weights"
300,DEFINE_list,1,compat,6,3.0,"name, default, help"
282,Identity,1,keras,1,0.0,default
298,MaxPool3D,1,keras,5,1.0,pool_size
240,LinearOperatorLowRankUpdate,1,linalg,10,2.0,"base_operator, u"
273,Subtract,1,keras,1,1.0,name
268,WorkerSessionCreator,1,compat,4,3.0,"scaffold, master, config"
130,Laplace,1,compat,5,2.0,"loc, scale"
193,Permute,1,keras,2,1.0,dims
194,MobileNet,1,keras,11,3.0,"input_shape, include_top, weights"
195,InceptionResNetV2,1,keras,8,3.0,"weights, include_top, input_shape"
83,AttrValue,1,compat,0,1.0,list
199,SpatialDropout2D,1,keras,3,2.0,"rate, name"
205,GRUBlockCell,1,raw_ops,7,1.0,x
133,SimpleRNNCell,1,keras,15,2.0,"units, activation"
214,Asset,1,saved_model,1,1.0,path
167,RepeatVector,1,keras,2,2.0,"n, name"
222,Resizing,1,keras,5,2.0,"height, width"
34,RegisterKL,1,compat,2,2.0,"dist_cls_a, dist_cls_b"
140,UpSampling3D,1,keras,3,2.0,"size, name"
231,ResourceScatterAdd,1,raw_ops,4,3.0,"resource, indices, updates"
235,DEFINE_multi_enum,1,compat,8,4.0,"name, default, enum_values, help"
242,LinearOperatorScaledIdentity,1,linalg,8,2.0,"num_rows, multiplier"
247,HierarchicalCopyAllReduce,1,distribute,1,0.0,default
157,DEFINE_enum_class,1,compat,9,4.0,"name, default, enum_class, help"
155,LinearClassifier,1,estimator,10,3.0,"feature_columns, n_classes, model_dir"
154,DNNLinearCombinedClassifier,1,estimator,16,5.0,"linear_feature_columns, dnn_feature_columns, dnn_hidden_units, n_classes, model_dir"
27,InputContext,1,distribute,3,3.0,"num_input_pipelines, input_pipeline_id, num_replicas_in_sync"
258,PiecewiseConstantDecay,1,keras,3,2.0,"boundaries, values"
262,LSTMBlockCellGrad,1,raw_ops,18,17.0,"x, cs_prev, h_prev, w, wci, wcf, wco, b, i, cs, f, o, ci, co, cs_grad, h_grad, use_peephole"
263,StaticVocabularyTable,1,lookup,5,2.0,"initializer, num_oov_buckets"
266,BooleanParser,1,compat,0,0.0,default
302,Walk,1,compat,2,1.0,top
